date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap
2025-08-05,2308,台達電,632.0,21914641.0,138.5,540.29,473.31,436.65,gap,2025-07-31,3,0.791,A,1641647365600
2025-08-05,2059,川湖,2725.0,1495075.0,40.74,2506.09,2258.38,2048.12,surge,2025-07-18,12,0.788,A,259684597500
2025-08-06,2308,台達電,621.0,21267817.0,132.07,547.97,478.16,439.7,gap,2025-07-31,4,0.81,A,1613074389300
2025-08-06,1303,南亞,37.3,75534167.0,28.17,34.95,32.23,32.54,surge,2025-07-30,5,0.808,B,295819645680
2025-08-06,2059,川湖,2810.0,672334.0,18.89,2535.03,2276.47,2060.71,surge,2025-07-18,13,0.765,A,267784851000
2025-08-07,2345,智邦,975.0,8153810.0,79.5,855.34,786.94,736.7,surge,2025-08-07,0,0.841,A,547089952500
2025-08-07,2404,漢唐,910.0,2498596.0,22.74,784.96,681.97,598.95,gap,2025-08-07,0,0.844,A,173433897000
2025-08-07,2308,台達電,623.0,16072941.0,100.13,555.12,482.9,442.73,gap,2025-07-31,5,0.813,A,1618269475900
2025-08-07,1303,南亞,37.15,36935721.0,13.72,35.16,32.39,32.62,surge,2025-07-30,6,0.816,B,294630022440
2025-08-07,2059,川湖,2925.0,2102439.0,61.5,2572.17,2297.73,2075.0,surge,2025-07-18,14,0.734,A,278744017500
2025-08-08,2368,金像電,409.0,18306378.0,74.87,356.55,312.51,278.19,surge,2025-08-08,0,0.835,A,208806320100
2025-08-08,2449,京元電子,133.5,98544107.0,131.56,117.83,109.99,106.92,surge,2025-08-08,0,0.845,A,163236470850
2025-08-08,2345,智邦,989.0,7966670.0,78.79,868.07,793.57,740.87,surge,2025-08-07,1,0.829,A,554945603100
2025-08-08,2404,漢唐,965.0,7158737.0,69.08,802.11,691.25,605.0,gap,2025-08-07,1,0.798,A,183916165500
2025-08-08,2360,致茂,502.0,3535243.0,17.75,457.23,414.03,385.47,surge,2025-08-01,5,0.838,A,213473341400
2025-08-08,2308,台達電,637.0,12644809.0,80.55,562.92,487.96,445.94,gap,2025-07-31,6,0.798,A,1654635082100
